cluster,n_peaks,pct_intergenic,pct_intronic,pct_exonic,pct_promoter,median_tss_distance,q25_tss_distance,q75_tss_distance,pct_within_2kb_tss,median_peak_width
0_0,265,47.92,45.28,6.04,0.75,16330.0,8702.0,25373.0,4.49,356.0
0_1,186,39.78,46.77,12.37,1.08,13534.0,6190.0,24344.0,4.84,471.0
10_0,1086,36.19,44.66,17.59,1.57,14432.0,6678.0,27045.0,6.24,462.0
10_1,1117,31.15,37.42,29.1,2.33,13002.0,5642.0,25892.0,8.8,719.0
10_10,401,31.17,43.64,20.95,4.24,13522.0,5574.0,24051.0,10.12,700.0
10_2,355,30.42,45.92,21.97,1.69,16042.0,7070.0,27943.0,5.78,657.0
10_3,1464,31.22,40.92,26.02,1.84,13806.0,5928.0,25968.0,7.27,616.0
10_4,700,30.71,41.0,24.29,4.0,13094.0,4860.0,25457.0,12.21,692.0
10_5,164,37.8,43.9,16.46,1.83,14937.0,6690.0,27190.0,6.62,694.0
10_6,949,36.99,42.04,19.39,1.58,13966.0,5975.0,26584.0,7.95,693.0
10_7,1586,30.39,42.81,23.77,3.03,13266.0,5432.0,25487.0,9.67,823.0
10_8,221,31.22,50.23,17.65,0.9,17273.0,7526.0,30016.0,4.64,687.0
10_9,178,34.83,44.94,19.1,1.12,16043.0,8080.0,26924.0,3.7,540.0
11_0,1083,33.89,40.07,23.64,2.4,13608.0,5814.0,26412.0,7.54,703.0
11_1,185,41.62,40.54,16.76,1.08,13778.0,7615.0,30848.0,5.43,635.0
11_10,134,37.31,37.31,23.88,1.49,10539.0,6490.0,21757.0,6.93,681.0
11_11,104,40.38,34.62,18.27,6.73,12100.0,5690.0,19860.0,15.19,733.0
11_12,176,38.07,38.07,22.73,1.14,13023.0,6320.0,22772.0,8.51,756.0
11_13,610,23.11,12.46,12.95,51.48,568.0,212.0,5757.0,62.89,1085.0
11_14,196,35.71,40.31,21.94,2.04,14886.0,6358.0,28330.0,7.48,700.0
11_15,669,34.83,31.39,27.8,5.98,10370.0,3831.0,22066.0,15.58,863.0
11_2,884,12.44,3.73,8.82,75.0,360.0,154.0,813.0,80.46,1346.0
11_3,233,39.48,39.48,20.17,0.86,16074.0,6747.0,27357.0,7.45,600.0
11_4,1124,30.34,25.44,18.86,25.36,4833.0,550.0,15149.0,34.82,1002.0
11_5,256,37.11,39.45,20.7,2.73,11919.0,5299.0,26220.0,7.0,770.0
11_6,378,29.63,45.24,20.63,4.5,13914.0,5882.0,25907.0,9.17,768.0
